epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,20558.8,1.37737,1.12224,1.4175,0.83559,0.66263,0.77233,0.48973,1.2313,0.8179,1.27415,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20978.4,1.3825,1.12966,1.41707,0.85404,0.65184,0.77236,0.48833,1.23287,0.81416,1.27539,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21401.6,1.36435,1.10603,1.40844,0.83424,0.66593,0.77467,0.49162,1.22388,0.80803,1.26809,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21815.5,1.37579,1.10769,1.41202,0.83057,0.67256,0.77607,0.49188,1.22354,0.801,1.26452,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22232.5,1.36166,1.10274,1.40801,0.83518,0.6743,0.77459,0.49456,1.22322,0.79831,1.26938,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22649.4,1.35358,1.09025,1.39796,0.8409,0.67628,0.7812,0.49415,1.21358,0.79284,1.26078,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23064.5,1.35249,1.0979,1.39803,0.85358,0.66153,0.78081,0.49816,1.21022,0.79447,1.25629,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23479,1.34668,1.08636,1.38798,0.84278,0.67012,0.7819,0.49837,1.21266,0.79072,1.25758,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,23893.8,1.3547,1.08245,1.38966,0.83996,0.67562,0.78372,0.49867,1.21367,0.78632,1.25738,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24308.3,1.34976,1.06582,1.39331,0.83504,0.68113,0.78626,0.49879,1.21118,0.78607,1.25716,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24719.5,1.3413,1.06037,1.38619,0.83962,0.68479,0.79112,0.50212,1.2129,0.77616,1.25464,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25133.4,1.33212,1.05211,1.38004,0.83751,0.68509,0.78945,0.5018,1.20568,0.77038,1.25138,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25544.4,1.33176,1.05679,1.38019,0.83653,0.68968,0.79151,0.50532,1.2005,0.76655,1.24897,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,25960.3,1.32988,1.04707,1.37808,0.83906,0.68888,0.7926,0.50619,1.19455,0.76334,1.24381,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26372.7,1.32184,1.04547,1.37508,0.82048,0.7025,0.79279,0.50669,1.19752,0.76086,1.24576,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26786.6,1.31253,1.02465,1.3625,0.83159,0.6972,0.79273,0.50719,1.1936,0.75846,1.24339,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27198.1,1.3141,1.01962,1.36217,0.84111,0.69128,0.79245,0.50635,1.19734,0.75788,1.24421,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27611.4,1.31439,1.02524,1.36662,0.84952,0.69082,0.79258,0.50765,1.20017,0.75543,1.24467,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28024.5,1.31054,1.00681,1.3609,0.8499,0.69038,0.79711,0.50981,1.19729,0.7518,1.2424,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28438,1.30597,1.0106,1.35866,0.85509,0.69324,0.80009,0.51033,1.19535,0.7474,1.24337,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,28854,1.31609,1.01628,1.36382,0.84964,0.70184,0.79956,0.51203,1.19127,0.74327,1.24147,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29266.3,1.28763,0.98484,1.34166,0.85048,0.69647,0.80018,0.51154,1.18866,0.74139,1.23901,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29677.2,1.29165,0.99126,1.34684,0.84757,0.70285,0.80332,0.51219,1.18422,0.73697,1.23481,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30089,1.28816,0.9819,1.34841,0.85233,0.70007,0.8036,0.51339,1.1832,0.73479,1.2336,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30499.8,1.29038,0.98041,1.34132,0.85723,0.69808,0.8054,0.51524,1.18227,0.73138,1.23307,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,30911.7,1.27849,0.97242,1.33662,0.85626,0.69963,0.80481,0.51592,1.18339,0.73049,1.23338,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31323.8,1.26833,0.9583,1.32885,0.85182,0.7026,0.80548,0.51581,1.18242,0.72636,1.23312,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,31747.8,1.27311,0.95545,1.33401,0.85993,0.69941,0.80769,0.51673,1.18275,0.72493,1.23338,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32177.7,1.27057,0.93906,1.33118,0.85654,0.69963,0.80756,0.51672,1.18125,0.72336,1.23227,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32597.6,1.26243,0.93862,1.3238,0.86397,0.69919,0.80732,0.51711,1.18025,0.72049,1.23191,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33009,1.25874,0.93877,1.32044,0.85157,0.70887,0.8082,0.51745,1.17849,0.71902,1.2312,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33419.3,1.26332,0.94541,1.32266,0.85247,0.70876,0.80879,0.51886,1.17714,0.71719,1.2306,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33830.8,1.24293,0.92556,1.31693,0.85808,0.70403,0.80816,0.51885,1.17638,0.71571,1.2301,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34242.9,1.24744,0.93206,1.31478,0.86352,0.70227,0.80857,0.51931,1.1748,0.71444,1.22816,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34652.5,1.24223,0.91324,1.31389,0.86572,0.70359,0.80956,0.51991,1.17345,0.71391,1.2276,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35065.9,1.24502,0.90707,1.30806,0.861,0.70579,0.80933,0.51982,1.1718,0.71144,1.2266,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35478,1.23183,0.90751,1.31008,0.8656,0.70513,0.80922,0.52071,1.17019,0.70967,1.22522,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,35892.3,1.23433,0.90413,1.31055,0.8673,0.70535,0.81103,0.52052,1.17035,0.70757,1.22503,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36303.6,1.22761,0.90061,1.3025,0.86042,0.70998,0.81093,0.52139,1.16911,0.70676,1.22413,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,36715.9,1.22057,0.89925,1.29852,0.8597,0.70975,0.81221,0.52179,1.16849,0.70601,1.22336,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37128.9,1.20294,0.88153,1.28722,0.85922,0.71236,0.81306,0.52238,1.16764,0.70471,1.22296,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37542.9,1.21255,0.87658,1.29038,0.85978,0.71293,0.81445,0.52347,1.16837,0.70352,1.22283,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,37946.3,1.16766,0.75703,1.2744,0.85958,0.71174,0.81449,0.52421,1.1675,0.70171,1.22212,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38349.6,1.15429,0.73899,1.2666,0.86359,0.71438,0.81545,0.52512,1.16739,0.70065,1.22191,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,38752.7,1.14973,0.73112,1.26347,0.86218,0.71262,0.81484,0.52532,1.16724,0.69929,1.22196,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39155.3,1.13702,0.71964,1.26073,0.86362,0.71064,0.81443,0.52573,1.1666,0.69838,1.22185,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39557.6,1.13412,0.71148,1.25475,0.86535,0.71046,0.81528,0.52577,1.16624,0.69702,1.22184,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,39961.7,1.12705,0.70624,1.24999,0.85808,0.71901,0.81554,0.52613,1.16573,0.69589,1.22157,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40364.7,1.11935,0.69626,1.24263,0.8611,0.71658,0.81625,0.52613,1.16546,0.6951,1.22153,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,40772.8,1.11777,0.6937,1.23949,0.8628,0.71734,0.81671,0.52664,1.16507,0.6942,1.22135,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41182.8,1.11332,0.69495,1.23721,0.86546,0.71482,0.81687,0.52679,1.16484,0.69309,1.22124,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,41587.8,1.10565,0.68258,1.23474,0.86476,0.71614,0.81724,0.5272,1.16432,0.69251,1.22114,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
